
Price,Bed_number,Bath_number,Square_foot,Info4,Description,Content,Name
"$1,695 per month",Studio,1 Bath,Condo for Rent,,"Distinctive  Studio 1 bath. This is located in Medford . Absolutely no dogs allowed, cats are okay. Mandatory credit check on all applicants. Laundry in building and/or unit and parking is available for each area. Keys are available at 59 linden st from 930am-7pm, 6 days/week. Max capacity: studio 1, one bed split 2, two bed 2, three bed 3, four bed 4. Extra tenants will be charged $400 extra per","63 Fellsway W Unit 11, Medford, MA 02155",
"$3,000 per month",2 Beds,1 Bath,"1,000 Sq Ft",Apartment for Rent,"Off Street parking in South Medford! 2 Bedrooms, 1 Full Bathroom and a fenced in shared yard available for rent. New appliances, freshly painted, and new cabinets. In unit laundry.","12 Hancock Ct Unit 1, Medford, MA 02155",Maureen Lavin
"$1,775 per month",1 Bed,1 Bath,Condo for Rent,,"This adorable Multi-Family 1 bed 1 bath in Medford is available In a few months. Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information","63 Fellsway W Unit 15, Medford, MA 02155",
"$3,000 per month",2 Beds,2 Baths,"1,229 Sq Ft",Condo for Rent,"Corner unit 8th Floor  with upgraded Kitchen Baths and new windows , Move in Condition , Hardwood Tile Stainless steel appliances indoor pool work out facility with lots of amenities . Double balcony and one is enclosed ,  Amazing view of Downtown Boston and the Mystic River Reservation as MacDonald park is just across the street. close proximity to Wellington Station Orange line  all major","3920 Mystic Valley Pkwy Unit 806, Medford, MA 02155",David Keane
"$1,695 per month",Studio,1 Bath,Condo for Rent,,"Beautiful  Studio 1 bath in Medford is available In a few months.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We are","63 Fellsway W Unit 14, Medford, MA 02155",
"$2,600 per month",2 Beds,1 Bath,"1,000 Sq Ft",Apartment for Rent,"You can still smell the fresh paint.  This apartment has been recently renovated with new paint and refinished hardwood floors.   This apartment boasts two large bedrooms, spacious living room and dining room, eat-in kitchen, small bonus room for an office, pation and plenty of sunlight.  Coin operated laundry is available in the basement.  This property is close proximity to route 93 (highway","37 Almont St Unit 2, Medford, MA 02155",Geoffrey Smith
"$1,725 per month",1 Bed,1 Bath,Condo for Rent,,"This  1 bed 1 bath in Medford is available In a few months.  Cat OKBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We","63 Fellsway W Unit 20, Medford, MA 02155",
"$4,475 per month",3 Beds,2.5 Baths,"2,000 Sq Ft",House for Rent,"Welcome to this well maintained single family home in desirable West Medford. The first level includes a spacious living room, dining room, updated kitchen, half bath, and large sunroom with lots of natural light. Upstairs you'll find three spacious bedrooms and a full bathroom. There is also finished walk up attic space that can be accessed through one of the bedrooms. The finished walk out","54 Mystic St, Medford, MA 02155",Warren Cormier
"$1,775 per month",1 Bed,1 Bath,Condo for Rent,,"This adorable Multi-Family 1 bed 1 bath in Medford is available In a few months. Eat-In kitchenParking Street Cat OKBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect","63 Fellsway W Unit 6, Medford, MA 02155",
"$2,500 per month",2 Beds,1 Bath,950 Sq Ft,Apartment for Rent,"GORGEOUS, RENOVATED 1ST FLOOR SUITE LOOKING FOR SPECTACULAR TENANT.  5.5 Fabulous Rooms at an attractive rate for 2 people!  VIEW OUR 3D TOUR ATTACHED and on listing broker website.  *Gleaming Hardwood Floors  *Fully Applianced Kitchen  *Washer/Dryer in lower level for your use.    Small dog ok.  No Smokers-  On street parking     Upfront Costs are First, Full Security and 1/2 mth Broker Fee","306 Fellsway W Unit 1, Medford, MA 02155",Kelly Catallo
"$1,795 per month",1 Bed,1 Bath,Condo for Rent,,"Nice 1 bed 1 bath in Medford.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We are pledged to this letter and spirit of","63 Fellsway W Unit 10, Medford, MA 02155",
"$2,400 per month",2 Beds,1 Bath,"2,200 Sq Ft",Apartment for Rent,"Spacious apartment on Medford / Somerville line. Hardwood floors through out. Ideal for 2 work-from-home professionals.  6 rooms plus 1 full bathroom,  and a large office space.  Plentiful common space --- a dining room, living room and front and back enclosed sun rooms. Sitting/reading areas l (not included  Convenient to T Green line --- Medford Square and Davis Square, Somerville. Both within","91 Hillsdale Rd Unit 2, Medford, MA 02155",edward accomando
"$1,700 per month",Studio,1 Bath,Condo for Rent,,"This  Studio 1 bath in Medford is available In a few months.  NO PETS Pets? Cats OK;Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information","53 Fellsway W Unit 15, Medford, MA 02155",
"$2,900 per month",2 Beds,2 Baths,"1,078 Sq Ft",Condo for Rent,"Bright and sunny 2 bedroom/2 bath 3rd flood condo at the highly desirable Parkway Plaza Condominiums. This 3rd floor unit offers central A/C, hardwood floors, open floor plan featuring a welcoming foyer, plenty of closets, expansive dining room/living room leading to a private balcony.  The spacious master bedroom with walk-in closet and a full bath on one side, and a generous second bath and","30 Revere Beach Pkwy Unit 315, Medford, MA 02155",
"$4,200 per month",3 Beds,2 Baths,"1,133 Sq Ft",Townhouse for Rent,Nicely renovated 3 bedroom 2 bathroom apartment on the 1st floor of a 2 family home. Excellent touches all around. Nice hardwood floors. Modern eat-in-kitchen with dishwasher/disposal and microwave. Laundry is in the building. (Reference #125179),"270 Harvard St, Medford, MA 02155",
"$2,800 per month",2 Beds,1 Bath,"1,100 Sq Ft",Apartment for Rent,"Spacious and bright first floor unit on centrally located Forest Street, Medford. Living room, Dining room, 2 Bedrooms all with hardwood throughout. Large eat in kitchen with Frig, D/W. Tiled bath with tub. Tandem one car parking in driveway or on-street parking available. Large common space in backyard. Additional storage in basement, W/D for exclusive use of first floor tenant, included. Pets","213 Forest St Unit 1, Medford, MA 02155",Alice Sahakian
"$7,995 per month",5 Beds,5.5 Baths,"1,999 Sq Ft",70-72 Stanley Ave Unit #1,"New 2-level unit. One year old construction. 5 Bed, 5.5 full Bath. Off street parking-dedicated driveway. Exclusive patio space. Washer/dryer in unit. Hardwoods, Stainless steel appliances and granite. High end finishes.(Reference #178749)","70-72 Stanley Ave, Medford, MA 02155",
"$3,100 per month",2 Beds,2 Baths,"1,400 Sq Ft",Apartment for Rent,"Welcome to this newly upgraded upscale apartment well located near MBTA Wellington T station and I-93, walking to Mystic riverbanks and parks in minutes! Tufts University is less than 10 minutes and Kendall Square/MIT is only 12 minutes by car and less than 30 minutes by bike! Great location - numerous restaurants, bars, movie cinemas and shopping are easily accessible nearby. Inside the unit,","30 Revere Beach Pkwy Unit 109, Medford, MA 02155",William Peng
"$4,300 per month",5 Beds,2 Baths,"1,999 Sq Ft",Townhouse for Rent,"Located in the Tufts area of Medford.  5 bedroom / 2 bathroom apartment in a Two-Family.  Eat in Kitchen with the following amenities: dishwasher, disposal, refrigerator,  and Electric Stove.  Coin operated laundry is on site.  Parking for 2 cars is included. (Reference #126564)","217 Boston Ave, Medford, MA 02155",
"$2,900 per month",1 Bed,1 Bath,825 Sq Ft,Condo for Rent,"1 bedroom, 1 bathroom unit available at recently completed Wellington Woods. Enter into the thoughtfully laid out open kitchen and living area, with stainless steel appliances, beautiful tiled backsplash, and wainscoting throughout. The large island welcomes guests and provides bar seating. Large windows and doors allow light to stream in and provide a view of the private balcony. Generously","320 Middlesex Ave Unit C206, Medford, MA 02155",Hanneman Gonzales Penney Gould
"$3,000 per month",3 Beds,1 Bath,"1,133 Sq Ft",Townhouse for Rent,"Spacious 3 bedroom place right near Tufts.  Eat in kitchen with dishwasher, hardwood floors, free laundry and 2 off street parking spots are included. Near Tufts University and a 10 minute walk to the Green Line!  (Reference #180272)","43 Orchard St, Medford, MA 02155",
"$2,000 per month",1 Bed,1 Bath,550 Sq Ft,Apartment for Rent,"This is the value you've been looking for! This studio apartment is less than a 30 minute commute via public transportation to North Station. Enjoy the convenience of having Target, Starbucks, and Dunkin just next door. Laundry in basement and Pet Negotiable","293 Spring Street Extension Unit 5, Medford, MA 02155",Georgios Argyropoulos
"$3,750 per month",3 Beds,1 Bath,Condo for Rent,,"This quaint House 3 beds 1 bath in Medford is available In a few months. Eat-In kitchen Parking Street NO PETS Pets? No Pets No Smokers.;Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the","59 Quincy St Unit 1, Medford, MA 02155",
"$7,995 per month",5 Beds,5.5 Baths,"2,103 Sq Ft",Apartment for Rent,"Newer construction duplex in Medford - five bedroom, five and a half bathrooms. Great location nearby Tufts University. Large open kitchen with new, high-end stainless steel appliances, granite, and fixtures. Hardwood floors throughout. Central A/C and in unit washer and dryer. Several private suites.  Unit has exclusive use of right side of driveway. Available June 1st. Pet friendly. First and","70 Stanley Ave Unit 1, Medford, MA 02155",Michael Cohen
"$4,200 per month",3 Beds,1 Bath,Condo for Rent,,"This quaint Multi-Family 3 beds 1 bath in Medford is available In a few months.  Parking DriveWay, Tandem Negotiable Pets? PETS are on a case by case basis and at an additional charge per pet $50;Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed.","119 Burget Ave Unit 2, Medford, MA 02155",
"$2,700 per month",2 Beds,1 Bath,"1,050 Sq Ft",Apartment for Rent,"Fantastic 2 bedroom,1 full bath in great commuters location.This 1st floor apartment features a spacious kitchen with plenty of counter space and cabinets. Spacious living/dining room with nice hardwood floors. 2 good size bedrooms, Full size nice bath. Unit comes with its own washer/dryer and storage space in basement. Large size shared back yard. Convenient to Wellington MBTA and the shops at","5 Thatcher St Unit 1, Medford, MA 02155",Skambas Realty Group
"$4,000 per month",4 Beds,1 Bath,Condo for Rent,,"This  4 beds 1 bath in Medford is available In a few months. Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We are","30 Adams St Unit 1, Medford, MA 02155",
"$2,675 per month",1 Bath,620 Sq Ft,Apartment for Rent,,"Available 31 January (or possibly earlier), this spacious studio at the RE150 in Medford has it all! Stainless steel appliances, plenty of living space, and a balcony overlooking the courtyard/pool area. Amenities include a clubhouse with lounge area, fitness center, game room, conference room and working areas, outdoor pool and grill, hammocks, pet wash, and bike storage. Only steps away from a","150 Rivers Edge Dr Unit 202, Medford, MA 02155",Jeremy Elliott
"$4,300 per month",3 Beds,2 Baths,Condo for Rent,,"This  3 beds 2 baths in Medford is available Now. Open kitchenBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We are","44 Mystic River Rd Unit 2, Medford, MA 02155",
"$4,250 per month",4 Beds,2 Baths,"9,999 Sq Ft",Apartment for Rent,"Living close to Tufts University band Green line T Station while having convenient access to the restaurants and shops on Boston Ave, this is the one. This lovely apartment offers 2 levels of living, with spacious living and dining room, 1 bedroom, large kitchen and 1 full bath on the 2nd floor. Another 3 bedrooms, 1 full bath, washer/dryer, and extra refrigerator and cabinets on the 3rd floor","118 Summer St Unit 2, Medford, MA 02155",Sammy Chen
"$3,600 per month",4 Beds,1 Bath,Condo for Rent,,"This adorable  4 beds 1 bath in Medford is available Now. Open kitchen NO PETSBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was","10 Pinkham Rd Unit 2, Medford, MA 02155",
"$4,200 per month",3 Beds,2 Baths,"1,365 Sq Ft",House for Rent,"Discover comfortable living in this beautifully maintained bungalow, just a short walk to the West Medford Train Station. With only one stop to North Station, commuting is a breeze, and the property's convenience is ideal for both work and leisure. This residence offers three spacious bedrooms, two full bathrooms, and a cozy sunroom perfect for relaxation year-round. Central air conditioning","60 Irving St, Medford, MA 02155",Jessica Belaska
"$8,400 per month",7 Beds,2 Baths,Condo for Rent,,"This  7 beds 2 baths in Medford is available In a few months. Eat-In kitchen Parking Tandem NO PETSBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the","357 Boston Ave, Medford, MA 02155",
"$3,300 per month",2 Beds,2 Baths,"1,206 Sq Ft",Condo for Rent,"Available now!  Beautiful views of Boston from your balcony! This 2-bedroom 2 2-bath unit was just completely painted throughout. Brand new laminated floors throughout.   The open floor plan living room/dining room has a slider to the balcony. Eat-in kitchen with stainless steel appliances. The main bedroom has a full bath, Laundry is in the unit, and a washer /dryer is included. The unit has 1","3920 Mystic Valley Pkwy Unit 515, Medford, MA 02155",Betty Levin
"$3,200 per month",3 Beds,1 Bath,Condo for Rent,,"This adorable  3 beds 1 bath in Medford is available Now. Parking DriveWay NO PETSBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information","43 Orchard St Unit 2, Medford, MA 02155",
"$3,600 per month",4 Beds,1 Bath,"1,200 Sq Ft",Apartment for Rent,"4 Bedroom Rental Near Tufts University. Discover your new home just a short walk from Tufts University! This inviting 2-bedroom apartment is perfect for students or professionals seeking convenience and comfort. Key Features: Location: Ideally situated within walking distance to Tufts University, with easy access to local shops, cafes, and public transportation. Parking: Enjoy the convenience of","131 Yale St Unit 2, Medford, MA 02155",Gianni De Palma
"$3,000 per month",3 Beds,1 Bath,Condo for Rent,,"This adorable  3 beds 1 bath in Medford is available Now. Parking DriveWay NO PETSBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information","43 Orchard St Unit 1, Medford, MA 02155",
"$2,900 per month",1 Bed,1 Bath,745 Sq Ft,Apartment for Rent,Fully furnished apartment available Oct 1st.This is a 1bedroom 1bathroom with hardwood floors throughout.Both the living room and large bedroom have oversized windows that drench this apartment with natural light. The kitchen has stainless steel appliances and granite countertops.The bedroom has great closet space.Washer in dryer is IN UNIT so doing laundry is super convenient.You will have 1,"100 Station Landing Unit 504, Medford, MA 02155",Victoria Bishop
"$2,750 per month",3 Beds,1 Bath,Condo for Rent,,"This  3 beds 1 bath in Medford is available In a few months. Eat-In kitchen Parking Street NO PETSBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the","47 Orchard St Unit 1, Medford, MA 02155",
"$3,200 per month",3 Beds,1 Bath,"1,000 Sq Ft",Apartment for Rent,"3 Bedroom Rental Near Tufts University. Discover your new home just a short walk from Tufts University! This inviting 2-bedroom apartment is perfect for students or professionals seeking convenience and comfort. Key Features: Location: Ideally situated within walking distance to Tufts University, with easy access to local shops, cafes, and public transportation. Parking: Enjoy the convenience of","131 Yale St Unit 1, Medford, MA 02155",Gianni De Palma
"$5,300 per month",4 Beds,2 Baths,Condo for Rent,,"Beautiful  4 beds 2 baths in Medford is available In a few months. Eat-In kitchen Parking DriveWayBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the","25 Capen St E Unit 1, Medford, MA 02155",
"$3,200 per month",2 Beds,2 Baths,"1,097 Sq Ft",Condo for Rent,"Gorgeous, furnished two bedroom on the edge of Medford Square. Very close to Rt 93, commuter rail, and even closer to a bus route to Harvard. Lots of shops, restaurants, Chevalier Theatre, and the Mystic River Reservation nearby. Kitchen is completely renovated with quartz counter tops, calacatta gold marble back splash, and stainless steel appliances. Extra-large living room offers an open floor","100 High St Unit 505, Medford, MA 02155",Dave Scott
"$4,000 per month",4 Beds,1 Bath,Condo for Rent,,"Distinctive  4 beds 1 bath . Floors are Hardwood. Parking DriveWay NO PETS . This is located in Medford .Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time","10 Water St Unit 2, Medford, MA 02155",
"$5,600 per month",4 Beds,3 Baths,"2,562 Sq Ft",House for Rent,"7 minutes from BOSTON!! This stately, well maintained home offers an abundance of space with expansive first floor, sun filled living room, family room, dining room and kitchen - only 7 Miles north of the city w/easy commute! The eat-in kitchen offers a generous amount of prep space & storage, stainless steel appliances, and a large island to gather around. The adjacent family room features","1 Via Marino, Medford, MA 02155",Kim Covino
"$3,000 per month",3 Beds,1 Bath,Condo for Rent,,"This quaint Multi-Family 3 beds 1 bath in Medford is available Now. Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We","20 Burget Ave Unit 2, Medford, MA 02155",
"$3,000 per month",3 Beds,2 Baths,"99,999 Sq Ft",Apartment for Rent,"Welcome to Medford.  This well maintained property has been lovingly cared for and is in close proximity to all of that which Medford has to offer. 8 rooms, 2/3 bedrooms plus bonus room on upper level, 2 full baths, eat in kitchen with appliances. Hardwood floors and natural woodwork reminiscent of an era past can be found throughout the unit.  Easy accessibility to major routes and highways.","54 Yeomans Ave Unit 54, Medford, MA 02155",Prestige Homes Realty Team
"$4,350 per month",4 Beds,1 Bath,Condo for Rent,,"Nice 4 beds 1 bath in Medford. Eat-In kitchen Parking DriveWay Cat OKBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information was obtained. We are","27 Princeton St Unit 2, Medford, MA 02155",
"$5,500 per month",5 Beds,2.5 Baths,"2,000 Sq Ft",Apartment for Rent,"Wonderful large well maintained Philly style 8 room, 5 bedroom on 2 levels with hardwood floors. Fully applianced kitchen with granite counters & newer stylish bath, large spacious rooms, custom painted walls, & 2+ baths, all just a stone's throw to Tufts University. Apartment offers much in the way of convenience & versatility. Unit has front and rear porches, a shared fenced private back yard &","30 Sunset Rd Unit B, Somerville, MA 02144",The iBremis Team
"$2,700 per month",2 Beds,1 Bath,Condo for Rent,,"Beautiful  3 beds 1 bath in Medford is available In a few months. Eat-In kitchen NO PETSBoston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about the properties reflect conditions at the time the information","47 Orchard St Unit 3, Medford, MA 02155",
"$4,100 per month",5 Beds,2 Baths,"2,200 Sq Ft",Apartment for Rent,"Come check out this beautiful 5 bedroom apartment located just minutes from Boston!!! This unit is extremely unique!!! With 2 levels? 5 bedrooms, kitchen, living room, 2 full baths, central ac, laundry, plenty of closet space and off street parking. Decorative fireplaces in just about every room. All hardwood floors and tile throughout the entire unit. There is a large room with beautiful","23 Forest St Unit 1, Medford, MA 02155",Barbara Aceto
"$4,225 per month",5 Beds,2 Baths,"2,200 Sq Ft",Townhouse for Rent,"Renovated 5 bedroom, 2 bath apartment, minutes to Tufts University. Modern Kitchen with Granite Counter tops, Stainless Steel Appliances, Dishwasher, Disposal. New ceramic tile throughout + Gleaming Hardwood Floors. Large Bedrooms all with closets. Plenty of Storage. House has been Fully insulated to save on heating and cooling. Freshly Pained walls, New windows and much more! Laundry In Basement","227 Boston Ave, Medford, MA 02155",
"$3,750 per month",3 Beds,2 Baths,"1,700 Sq Ft",Apartment for Rent,WELCOME HOME TO THIS OVER-SIZED CHARMING AND UPDATED TOWNHOUSE STYLE APARTMENT. CONSISTING OF THREE LEVELS OF LIVING SPACE WITH 3 BEDS AND 2 FULL BATHS PLUS ADDITIONAL BASEMENT AREA FOR STORAGE. OVER-SIZED LIVING ROOM AND DINING ROOM WITH BEAUTIFUL HARDWOOD FLOORS AND HIGH CEILINGS. BONUS ROOM OFF LIVING ROOM CAN BE USED AS A PERFECT HOME OFFICE OR ADDITIONAL SITTING AREA. SECOND FLOOR WITH TWO,"132 Allston St Unit 132, Medford, MA 02155",Craig Carey
"$3,000 per month",3 Beds,2 Baths,"1,133 Sq Ft",Condo for Rent,"Located in the Tufts area of Medford. Near the Somerville line and only half a mile to Ball Square and the Green Line! Townhouse style 3+ bedroom, 2 baths on the 1st and 2nd floors of a two-family house.  Newly renovated kitchen with granite countertops. Hardwood floors and pergo throughout, coin-op laundry on site.  Permit-free street parking available. (Reference #141110)","98 Edward St, Medford, MA 02155",
"$3,700 per month",3 Beds,2 Baths,"2,100 Sq Ft",House for Rent,"AVAILABLE NOW or AUGUST 1st!  Listed on the National Historic Registry.  Located on a quiet street near Tufts University.  UNIQUE single family, 2-story home with octagonal structure in front.  8 spacious rooms with tall ceilings.  2 full bathrooms, hardwood floors and natural woodwork.  MUST COME AND SEE this extra large 3+ bedroom home!  Large unfinished basement with washer/dryer hook-ups.  2","24 Brooks Park, Medford, MA 02155",Carleen Leblanc
"$3,600 per month",3 Beds,1 Bath,Condo for Rent,,"This nice 3 Bed 1 Bath place in the MEDFORD - TUFTS area is available for 09-01-2025.  Included Features are: Oil Heat, Gas Hot Water, Deck, and Laundry in Basement.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and","3 Capen St Unit 1, Medford, MA 02155",
"$2,700 per month",2 Beds,1 Bath,"1,000 Sq Ft",Apartment for Rent,"Off Street parking in South Medford! 2 Bedroom, 1 Full Bathroom and a fenced in shared yard available for rent. Pictures to come soon. Available January 15.","14 Hancock Ct Unit 14, Medford, MA 02155",Maureen Lavin
"$3,450 per month",3 Beds,1 Bath,Condo for Rent,,"This nice 3 Bed 1 Bath place in the MEDFORD - TUFTS area is available for 06-01-2025.  Included Features are: Rear Porch, and Laundry in Common Area. 1.Boston Pads is not responsible for any errors, omissions and change in price, prior sale, rent and withdrawal without notice. All information from sources reliable but not guaranteed. Photographs, videos, description and information about","7 Greenleaf Ave Unit 1, Medford, MA 02155",
"$2,800 per month",3 Beds,1 Bath,"1,500 Sq Ft",Apartment for Rent,"Pets ok! Magoun Square. Great vintage 3 bedroom apartment for rent in a two family home. Freshly painted, with in-unit laundry room!  Versatile layout lends itself to having private space for bedroom, guest room or office. Great outdoor space with open deck out front. On street parking with permit. One year lease available. Very walkable neighborhood. Near public transport, great restaurants and","85 Partridge Ave Unit 2, Somerville, MA 02145",Karen Lee
"$4,225 per month",4 Beds,2 Baths,"1,800 Sq Ft",Townhouse for Rent,"VERY LARGE, Beautifully RENOVATED, OPEN LIVING SPACE, 2nd and 3rd floor of a meticulously maintained 2 family house on quiet tree lined street...4 Good sized bedrooms, Eat in kitchen ( with all new STAINLESS STEEL APPLIANCES) , LARGE, OPEN LIVING ROOM & DINING ROOM w/ Decorative Fireplace, 2nd small Living room ( or large study) between the 2 3rd floor bedrooms... There is a 5th BR ( which is","124 Bonner Ave, Medford, MA 02155",
"$3,000 per month",3 Beds,1 Bath,"1,100 Sq Ft",Apartment for Rent,"Recently renovated 3 bed, 1 bath with driveway parking included in rent. 75 Gordon St. is found on a quiet street a mile north of Tufts University, with numerous bus stops connecting the two. The space itself covers the entire second floor of a two family house. Recent renovations have provided a much more modern feel. Three sizable bedrooms are accompanied by a bathroom, a living/dining room, an","75 Gordon St Unit 2, Somerville, MA 02144",John Danisch
"$4,595 per month",5 Beds,2 Baths,"1,600 Sq Ft",Townhouse for Rent,"Located in the Tufts area of Medford.  Under 15 minute walk to Davis Square T station on the Red Line.  Spacious and sunny 5 bedroom, 2 bathroom apartment, recently renovated.  Gleaming hardwood floors throughout, eat-in kitchen with granite counters and stainless steel appliances. Coin operated laundry is on site. (Reference #141149)","68 Winchester St, Medford, MA 02155",
"$4,300 per month",3 Beds,2.5 Baths,"2,000 Sq Ft",Apartment for Rent,"Brand new renovation! Duplex condo quality 3 bed 2.5 bath. Gorgeous kitchen with a 9 ft Quartz island. Top of the line gas stove with 6 burners. Washer/dryer in unit! Huge balcony off the kitchen. Great living room for entertaining. Master bedroom/bathroom on the first level. Two bedrooms and bathroom (with impressive skylight) on the second level.Other features include Central AC, ample driveway","1166 Fellsway Unit 2, Malden, MA 02148",Isabelle Rosenblatt
"$2,400 per month",2 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"BEAUTIFUL 2 BED 1 BATH APARTMENT FOR RENT IN MEDFORD!AVAILABLE 6/1/25!Features:~ large rooms~ laundry in unit~ great natural lighting~ hardwood flooring~ parking for rentDON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand omissions without notice. Information from sources has been","33 Stearns Ave Unit 3, Medford, MA 02155",
"$3,350 per month",3 Beds,1 Bath,"1,100 Sq Ft",Apartment for Rent,"Bright and spacious, this updated top-floor unit boasts abundant natural light, gleaming hardwood floors, and brand-new appliances. Enjoy your private porch—perfect for relaxing or entertaining. This charming unit also includes two off-street parking spaces for added convenience. Located in a desirable Somerville neighborhood, close to amenities and public transportation. Rent: $3,350/month.","115 Bartlett St Unit 2, Somerville, MA 02145",Anthony Fava
"$2,400 per month",2 Beds,1 Bath,"9,999 Sq Ft",Condo for Rent,"STUNNING 2 BED 1 BATH FOR RENT IN MEDFORD!AVAILABLE ON 6.1.2025!Features:~ laundry in unit~ dishwasher~ parking for rent~ hardwood floors~ high ceilings ~ large rooms~ great natural lightingCALL NOW TO SCHEDULE A SHOWING - DON'T WAIT! ______________________________________Advertising agent is not liable for any errors, change in priceand","33 Stearns Ave Unit 3, Medford, MA 02155",
"$2,999 per month",3 Beds,1 Bath,"1,200 Sq Ft",Apartment for Rent,"This spacious rental offers modern updates with classic charm. Featuring gleaming hardwood floors, brand-new appliances, and ample living space, this unit is perfect for comfortable living. Includes two off-street parking spaces for added convenience. Located in a desirable Somerville neighborhood, close to amenities and public transportation. Rent: $2,999/month. Don't miss out—schedule a showing","115 Bartlett St Unit 1, Somerville, MA 02145",Anthony Fava
"$3,000 per month",2 Beds,1 Bath,"1,100 Sq Ft",Condo for Rent,"Now for Move in! 2BR/1B-Powder house Sq. 5 min to Ball Sq green line &  12 min to Davis red. Apt. Includes one garage spot + a second off street spot. In unit Laundry. Extensive renovations will Incl: New paint, new bath, new floor in kitchen w/dishwasher. New recessed lighting in common areas.  Shared Yard.","246 Harvard St Unit 2, Medford, MA 02155",
"$4,600 per month",3 Beds,2 Baths,"1,300 Sq Ft",Apartment for Rent,"This newly renovated 3-bedroom, 2-bathroom duplex apartment blends style, comfort, and convenience, making it a standout in a prime location. The primary suite offers a private sanctuary with an ensuite bathroom and generous closet space. The contemporary kitchen boasts new stainless steel appliances and a striking new granite countertop, perfect for cooking and entertaining. Recessed and","159 Boston Ave Unit 2, Somerville, MA 02144",Cody Chy
"$2,700 per month",3 Beds,1 Bath,"1,200 Sq Ft",Condo for Rent,"Avail Now! 3BR/1B Tufts area of Medford, coin-op laundry in the basement. Recently updated and modern kitchen with dishwasher, disposal, microwave.  1 Mile to the West Medford Station and 1.4 to Davis Sq.","47 Orchard St Unit 3, Medford, MA 02155",
